level,category,number,title,kind,new_path,size_bytes,sha256,original_path
advanced,listening,10,Radio Show,audio,materials/advanced/listening/listening-10/audio.mp3,11042021,a25b4ca8876cc0630ece25848293d43ebf4fdc9eff82105103a3bbd49a521549,advanced/ADVANCED/#U00c1UDIO/LISTENING/ADV LIST #10 THE RADIO SHOW.mp3
advanced,listening,11,The Weather Forecast,student_pdf,materials/advanced/listening/listening-11/student.pdf,106038,fe313d13467b9b313e6465264e3228210aa06742ee224a496185827d20457756,advanced/ADVANCED/LISTENING/STUDENT/ADV LISTENING #11 THE WEATHER FORECAST.pdf
advanced,listening,11,The Weather Forecast,audio,materials/advanced/listening/listening-11/audio.mp3,5804640,32b3cb0e31b117f007cdfba6679b40e827c814754520ca5f0e9510ab9f3ff69a,advanced/ADVANCED/#U00c1UDIO/LISTENING/ADV LIST #11 THE WEATHER FORECAST.mp3
advanced,listening,12,Smart Goals,student_pdf,materials/advanced/listening/listening-12/student.pdf,121410,fda73365f8610739d3454c030013c4dedfa4ca617308ea519dcd18a11250d005,advanced/ADVANCED/LISTENING/STUDENT/ADV LISTENING #12 SMART GOALS.pdf
advanced,listening,12,Smart Goals,audio,materials/advanced/listening/listening-12/audio.mp3,4434600,bff88fd2919acbb25c31c5ee5b6f93f8ef0351cb623d11009c5e1dde34cbd637,advanced/ADVANCED/#U00c1UDIO/LISTENING/ADV LIST #12 SMART GOALS.mp3
advanced,listening,13,Getting a Hair Cut,student_pdf,materials/advanced/listening/listening-13/student.pdf,117342,d07d78c609c49293677c475708f4b504f146d86eb3458e99c54e4722dce1f5cd,advanced/ADVANCED/LISTENING/STUDENT/ADV LISTENING #13 GETTING A HAIR CUT.pdf
advanced,listening,13,Getting a Hair Cut,audio,materials/advanced/listening/listening-13/audio.mp3,1514194,401d50945e64a0819c03e4e7a067ccbc275139771fe629d45cccc5a8fd707950,advanced/ADVANCED/#U00c1UDIO/LISTENING/ADV LIST #13 GETTING A HAIR CUT.mp3
advanced,listening,14,Catching Up with a Friend,student_pdf,materials/advanced/listening/listening-14/student.pdf,128458,7e365567a31e9768fcff2c3271343803ad4ded970dba689cf13c0d65d4255fbc,advanced/ADVANCED/LISTENING/STUDENT/ADV LISTENING #14 CATCHING UP WITH A FRIEND.pdf
advanced,listening,14,Catching Up with a Friend,audio,materials/advanced/listening/listening-14/audio.mp3,2539735,fab40e819e60b195986d5742bd0fa0fd1b852ea9f521b105872b4456855f039d,advanced/ADVANCED/#U00c1UDIO/LISTENING/ADV LIST #14 CATCHING UP WITH A FRIEND.mp3
advanced,listening,15,Grabbing a Refresher,student_pdf,materials/advanced/listening/listening-15/student.pdf,151722,15763091306998cfdca94b33a9a71365f0ec9f5bf4ce318b17473ecee2f78001,advanced/ADVANCED/LISTENING/STUDENT/ADV LISTENING #15 GRABBING A REFRESHER.pdf
